Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Traffic Situation
12:00:00 PM,10,Tuesday,38,10,5,25,normal
12:15:00 PM,10,Tuesday,57,8,12,29,normal
12:30:00 PM,10,Tuesday,20,6,4,20,normal
12:45:00 PM,10,Tuesday,24,9,14,23,normal
1:00:00 PM,10,Tuesday,52,10,13,21,normal
1:15:00 PM,10,Tuesday,79,15,36,18,high
1:30:00 PM,10,Tuesday,84,24,22,18,normal
1:45:00 PM,10,Tuesday,,19,35,16,high
2:00:00 PM,10,Tuesday,88,26,31,19,high
2:15:00 PM,10,Tuesday,24,11,32,13,normal
2:30:00 PM,10,Tuesday,110,17,23,20,heavy
2:45:00 PM,10,Tuesday,29,26,5,6,low
3:00:00 PM,10,Tuesday,43,26,11,20,normal
3:15:00 PM,10,Tuesday,68,28,9,15,normal
3:30:00 PM,10,Tuesday,108,16,8,18,normal
3:45:00 PM,10,Tuesday,101,26,8,14,normal
4:00:00 PM,10,Tuesday,141,31,36,6,heavy
4:15:00 PM,10,Tuesday,120,25,28,5,heavy
4:30:00 PM,10,Tuesday,137,23,44,5,heavy
4:45:00 PM,10,Tuesday,124,11,30,7,heavy
5:00:00 PM,10,Tuesday,145,25,49,7,heavy
5:15:00 PM,10,Tuesday,122,37,23,8,heavy
5:30:00 PM,10,Tuesday,136,30,20,9,heavy
5:45:00 PM,10,Tuesday,145,18,40,9,heavy
6:00:00 PM,10,Tuesday,138,34,28,5,heavy
6:15:00 PM,10,Tuesday,123,10,29,8,heavy
6:30:00 PM,10,Tuesday,105,15,21,9,normal
6:45:00 PM,10,Tuesday,75,22,20,11,normal
7:00:00 PM,10,Tuesday,90,12,10,13,normal
7:15:00 PM,10,Tuesday,102,22,20,16,normal
7:30:00 PM,10,Tuesday,61,18,15,27,high
7:45:00 PM,10,Tuesday,70,8,14,6,low
8:00:00 PM,10,Tuesday,80,17,12,34,high
8:15:00 PM,10,Tuesday,62,12,14,19,normal
8:30:00 PM,10,Tuesday,96,5,11,13,normal
8:45:00 PM,10,Tuesday,102,6,12,13,normal
9:00:00 PM,10,Tuesday,91,14,15,6,normal
9:15:00 PM,10,Tuesday,95,8,17,13,normal
9:30:00 PM,10,Tuesday,75,15,12,21,high
9:45:00 PM,10,Tuesday,53,21,20,10,normal
10:00:00 PM,10,Tuesday,13,1,0,19,normal
10:15:00 PM,10,Tuesday,10,0,1,24,normal
10:30:00 PM,10,Tuesday,16,2,0,33,normal
10:45:00 PM,10,Tuesday,11,1,0,29,normal
11:00:00 PM,10,Tuesday,18,2,1,13,normal
11:15:00 PM,10,Tuesday,15,0,1,11,low
11:30:00 PM,10,Tuesday,14,1,0,33,normal
11:45:00 PM,10,Tuesday,17,2,0,22,normal
12:00:00 AM,11,Wednesday,12,2,1,17,normal
12:15:00 AM,11,Wednesday,18,0,0,29,normal
12:30:00 AM,11,Wednesday,16,1,0,14,normal
12:45:00 AM,11,Wednesday,20,0,0,14,normal
1:00:00 AM,11,Wednesday,20,1,1,30,normal
1:15:00 AM,11,Wednesday,15,0,1,23,normal
1:30:00 AM,11,Wednesday,16,0,1,26,normal
1:45:00 AM,11,Wednesday,18,4,0,11,low
2:00:00 AM,11,Wednesday,17,3,1,36,normal
2:15:00 AM,11,Wednesday,14,4,1,10,low
2:30:00 AM,11,Wednesday,18,2,1,25,normal
2:45:00 AM,11,Wednesday,12,2,0,19,normal
3:00:00 AM,11,Wednesday,11,4,0,30,normal
3:15:00 AM,11,Wednesday,19,1,1,36,normal
3:30:00 AM,11,Wednesday,10,4,0,36,normal
3:45:00 AM,11,Wednesday,20,1,1,32,normal
4:00:00 AM,11,Wednesday,15,5,1,40,normal
4:15:00 AM,11,Wednesday,104,6,5,1,normal
4:30:00 AM,11,Wednesday,109,25,3,8,normal
4:45:00 AM,11,Wednesday,82,23,8,20,normal
5:00:00 AM,11,Wednesday,81,25,1,18,normal
5:15:00 AM,11,Wednesday,95,16,10,1,normal
5:30:00 AM,11,Wednesday,91,24,7,6,normal
5:45:00 AM,11,Wednesday,81,30,10,0,normal
6:00:00 AM,11,Wednesday,125,13,26,2,high
6:15:00 AM,11,Wednesday,125,39,49,3,heavy
6:30:00 AM,11,Wednesday,125,34,37,1,heavy
6:45:00 AM,11,Wednesday,125,19,25,4,heavy
7:00:00 AM,11,Wednesday,125,15,49,0,heavy
7:15:00 AM,11,Wednesday,125,32,50,5,heavy
7:30:00 AM,11,Wednesday,125,38,50,1,heavy
7:45:00 AM,11,Wednesday,125,29,29,3,heavy
8:00:00 AM,11,Wednesday,125,31,48,4,heavy
8:15:00 AM,11,Wednesday,125,32,50,0,heavy
8:30:00 AM,11,Wednesday,125,31,45,0,heavy
8:45:00 AM,11,Wednesday,125,21,20,1,normal
9:00:00 AM,11,Wednesday,125,28,36,0,heavy
9:15:00 AM,11,Wednesday,39,10,37,16,normal
9:30:00 AM,11,Wednesday,89,8,12,13,normal
9:45:00 AM,11,Wednesday,51,16,16,13,normal
10:00:00 AM,11,Wednesday,17,9,18,28,normal
10:15:00 AM,11,Wednesday,48,25,36,21,high
10:30:00 AM,11,Wednesday,93,7,30,16,high
10:45:00 AM,11,Wednesday,55,15,36,15,high
11:00:00 AM,11,Wednesday,51,10,8,22,normal
11:15:00 AM,11,Wednesday,51,7,3,24,normal
11:30:00 AM,11,Wednesday,,9,7,30,normal
11:45:00 AM,11,Wednesday,51,7,14,20,normal
12:00:00 PM,11,Wednesday,51,10,14,20,normal
12:15:00 PM,11,Wednesday,51,10,6,22,normal
12:30:00 PM,11,Wednesday,51,8,11,22,normal
12:45:00 PM,11,Wednesday,51,6,10,26,normal
1:00:00 PM,11,Wednesday,51,7,7,27,normal
1:15:00 PM,11,Wednesday,104,17,25,20,normal
1:30:00 PM,11,Wednesday,6,28,27,14,normal
1:45:00 PM,11,,54,29,37,9,high
2:00:00 PM,11,Wednesday,43,13,30,20,normal
2:15:00 PM,11,Wednesday,60,21,26,11,high
2:30:00 PM,11,Wednesday,101,23,8,20,normal
2:45:00 PM,11,Wednesday,62,26,19,11,normal
3:00:00 PM,11,Wednesday,39,24,13,11,low
3:15:00 PM,11,Wednesday,90,20,35,7,high
3:30:00 PM,11,Wednesday,109,30,22,20,heavy
3:45:00 PM,11,Wednesday,68,26,25,20,normal
4:00:00 PM,11,Wednesday,142,22,37,6,heavy
4:15:00 PM,11,Wednesday,113,14,20,5,normal
4:30:00 PM,11,Wednesday,142,13,37,8,heavy
4:45:00 PM,11,Wednesday,108,23,26,9,high
5:00:00 PM,11,Wednesday,122,29,30,7,heavy
5:15:00 PM,11,Wednesday,133,12,30,7,heavy
5:30:00 PM,11,Wednesday,118,23,38,10,heavy
5:45:00 PM,11,Wednesday,121,35,26,8,heavy
6:00:00 PM,11,Wednesday,116,23,20,8,normal
6:15:00 PM,11,Wednesday,132,12,27,8,heavy
6:30:00 PM,11,Wednesday,144,17,33,7,heavy
6:45:00 PM,11,Wednesday,103,21,11,11,normal
7:00:00 PM,11,Wednesday,107,15,10,15,normal
7:15:00 PM,11,Wednesday,50,10,10,17,normal
7:30:00 PM,11,Wednesday,108,15,10,6,normal
7:45:00 PM,11,Wednesday,108,24,15,29,heavy
8:00:00 PM,11,Wednesday,101,6,15,13,normal
8:15:00 PM,11,Wednesday,55,17,12,19,normal
8:30:00 PM,11,Wednesday,77,7,20,16,normal
8:45:00 PM,11,Wednesday,91,12,19,8,normal
9:00:00 PM,11,Wednesday,95,25,17,29,high
9:15:00 PM,11,Wednesday,78,17,17,27,high
9:30:00 PM,11,Wednesday,98,16,16,21,high
9:45:00 PM,11,Wednesday,86,13,11,35,high
10:00:00 PM,11,Wednesday,18,4,0,16,normal
10:15:00 PM,11,Wednesday,18,5,0,12,low
10:30:00 PM,11,Wednesday,18,2,1,25,normal
10:45:00 PM,11,Wednesday,18,1,0,17,normal
11:00:00 PM,11,Wednesday,18,5,0,21,normal
11:15:00 PM,11,Wednesday,18,0,1,12,low
11:30:00 PM,11,Wednesday,18,3,1,28,normal
11:45:00 PM,11,Wednesday,18,4,1,40,normal
12:00:00 AM,12,Thursday,18,1,1,39,normal
12:15:00 AM,12,Thursday,18,4,0,30,normal
12:30:00 AM,12,Thursday,18,5,1,13,normal
12:45:00 AM,12,Thursday,18,2,0,37,normal
1:00:00 AM,12,Thursday,18,0,0,13,normal
1:15:00 AM,12,Thursday,18,5,0,11,low
1:30:00 AM,12,Thursday,18,5,1,12,low
1:45:00 AM,12,Thursday,18,1,1,16,normal
2:00:00 AM,12,Thursday,18,1,1,34,normal
2:15:00 AM,12,Thursday,18,1,0,24,normal
2:30:00 AM,12,Thursday,18,0,0,23,normal
2:45:00 AM,12,Thursday,18,0,0,27,normal
3:00:00 AM,12,Thursday,18,5,0,28,normal
3:15:00 AM,12,Thursday,18,1,0,14,normal
3:30:00 AM,12,Thursday,18,5,0,25,normal
3:45:00 AM,12,Thursday,18,4,1,30,normal
4:00:00 AM,12,Thursday,18,5,1,30,normal
4:15:00 AM,12,Thursday,62,24,7,2,low
4:30:00 AM,12,Thursday,51,23,6,1,low
4:45:00 AM,12,Thursday,114,23,10,19,normal
5:00:00 AM,12,Thursday,85,22,9,9,normal
5:15:00 AM,12,Thursday,102,24,4,20,normal
5:30:00 AM,12,Thursday,101,18,3,17,normal
5:45:00 AM,12,Thursday,116,19,0,17,normal
6:00:00 AM,12,Thursday,117,38,50,5,heavy
6:15:00 AM,12,Thursday,114,32,34,2,heavy
6:30:00 AM,12,Thursday,120,17,23,1,normal
6:45:00 AM,12,Thursday,145,20,25,2,heavy
7:00:00 AM,12,Thursday,125,30,48,1,heavy
7:15:00 AM,12,Thursday,103,27,45,1,heavy
7:30:00 AM,12,Thursday,,20,43,1,heavy
7:45:00 AM,12,Thursday,145,10,44,1,heavy
8:00:00 AM,12,Thursday,147,31,20,4,heavy
8:15:00 AM,12,Thursday,104,24,40,0,heavy
8:30:00 AM,12,Thursday,124,11,22,0,normal
8:45:00 AM,12,Thursday,101,37,31,4,heavy
9:00:00 AM,12,Thursday,144,30,37,1,heavy
9:15:00 AM,12,Thursday,24,18,37,18,normal
9:30:00 AM,12,Thursday,24,8,17,25,normal
9:45:00 AM,12,Thursday,16,22,12,20,normal
10:00:00 AM,12,Thursday,26,2,39,26,normal
10:15:00 AM,12,Thursday,90,7,18,15,normal
10:30:00 AM,12,Thursday,59,6,11,11,low
10:45:00 AM,12,Thursday,28,7,22,18,normal
11:00:00 AM,12,Thursday,60,5,14,21,normal
11:15:00 AM,12,Thursday,69,9,8,23,normal
11:30:00 AM,12,Thursday,59,9,12,26,normal
11:45:00 AM,12,Thursday,24,10,5,21,normal
12:00:00 PM,12,Thursday,41,7,7,21,normal
12:15:00 PM,12,Thursday,48,10,9,29,normal
12:30:00 PM,12,Thursday,59,10,14,23,normal
12:45:00 PM,12,Thursday,67,7,12,28,high
1:00:00 PM,12,Thursday,52,9,8,20,normal
1:15:00 PM,12,Thursday,45,26,29,10,normal
1:30:00 PM,12,Thursday,14,21,7,18,normal
1:45:00 PM,12,Thursday,55,22,24,10,normal
2:00:00 PM,12,Thursday,45,14,39,5,normal
2:15:00 PM,12,Thursday,90,17,16,11,normal
2:30:00 PM,12,Thursday,33,21,25,5,normal
2:45:00 PM,12,Thursday,118,25,31,13,heavy
3:00:00 PM,12,Thursday,86,28,13,5,normal
3:15:00 PM,12,Thursday,105,29,22,12,heavy
3:30:00 PM,12,Thursday,10,19,26,8,normal
3:45:00 PM,12,Thursday,46,22,18,9,normal
4:00:00 PM,12,Thursday,105,35,48,6,heavy
4:15:00 PM,12,Thursday,135,37,34,5,heavy
4:30:00 PM,12,Thursday,103,29,44,6,heavy
4:45:00 PM,12,Thursday,113,13,42,10,heavy
5:00:00 PM,12,Thursday,103,20,27,9,high
5:15:00 PM,12,Thursday,150,13,20,9,heavy
5:30:00 PM,12,Thursday,116,25,33,8,heavy
5:45:00 PM,12,Thursday,109,16,41,9,heavy
6:00:00 PM,12,Thursday,112,11,50,5,heavy
6:15:00 PM,12,Thursday,104,31,30,5,heavy
6:30:00 PM,12,Thursday,146,18,40,6,heavy
6:45:00 PM,12,Thursday,110,24,10,29,heavy
7:00:00 PM,12,Thursday,60,15,12,25,high
7:15:00 PM,12,Thursday,103,9,14,29,high
7:30:00 PM,12,Thursday,102,6,15,6,normal
7:45:00 PM,12,Thursday,51,17,16,8,normal
8:00:00 PM,12,Thursday,62,12,11,18,normal
8:15:00 PM,12,Thursday,103,14,12,5,normal
8:30:00 PM,12,Thursday,50,7,11,23,normal
8:45:00 PM,12,Thursday,80,14,20,6,normal
9:00:00 PM,12,Thursday,98,13,18,21,high
9:15:00 PM,12,Thursday,53,25,20,13,normal
9:30:00 PM,12,Thursday,52,8,10,27,normal
9:45:00 PM,12,Thursday,71,23,13,21,high
10:00:00 PM,12,Thursday,17,3,0,29,normal
10:15:00 PM,12,Thursday,20,5,1,36,normal
10:30:00 PM,12,Thursday,15,0,0,32,normal
10:45:00 PM,12,Thursday,15,0,1,20,normal
11:00:00 PM,12,Thursday,14,2,0,23,normal
11:15:00 PM,12,Thursday,13,1,0,29,normal
11:30:00 PM,12,Thursday,14,5,0,31,normal
11:45:00 PM,12,Thursday,16,3,0,33,normal
12:00:00 AM,13,Friday,18,4,1,15,normal
12:15:00 AM,13,Friday,20,0,1,23,normal
12:30:00 AM,13,Friday,19,3,0,16,normal
12:45:00 AM,13,Friday,10,3,0,12,low
1:00:00 AM,13,Friday,10,4,0,23,normal
1:15:00 AM,13,Friday,12,5,0,29,normal
1:30:00 AM,13,Friday,10,0,0,39,normal
1:45:00 AM,13,Friday,16,2,1,21,normal
2:00:00 AM,13,Friday,18,4,1,36,normal
2:15:00 AM,13,Friday,15,1,0,14,normal
2:30:00 AM,13,Friday,17,4,0,13,normal
2:45:00 AM,13,Friday,18,3,1,24,normal
3:00:00 AM,13,Friday,19,2,0,11,low
3:15:00 AM,13,Friday,19,3,0,21,normal
3:30:00 AM,13,Friday,19,3,1,31,normal
3:45:00 AM,13,Friday,14,2,1,19,normal
4:00:00 AM,13,Friday,11,0,0,27,normal
4:15:00 AM,13,Friday,27,6,1,11,low
4:30:00 AM,13,Friday,33,11,6,13,normal
4:45:00 AM,13,Friday,63,6,7,10,low
5:00:00 AM,13,Friday,58,13,4,15,normal
5:15:00 AM,13,Friday,57,11,7,10,low
5:30:00 AM,13,Friday,63,10,6,12,low
5:45:00 AM,13,Friday,74,9,0,15,normal
6:00:00 AM,13,Friday,71,9,7,10,low
6:15:00 AM,13,Friday,33,9,6,13,normal
6:30:00 AM,13,Friday,29,6,1,12,low
6:45:00 AM,13,Friday,32,9,3,11,low
7:00:00 AM,13,Friday,57,14,3,11,low
7:15:00 AM,13,Friday,31,11,0,14,normal
7:30:00 AM,13,Friday,30,9,3,10,low
7:45:00 AM,13,Friday,61,8,7,12,low
8:00:00 AM,13,Friday,47,10,4,10,low
8:15:00 AM,13,Friday,80,16,4,15,normal
8:30:00 AM,13,Friday,49,10,2,10,low
8:45:00 AM,13,Friday,58,7,5,13,normal
9:00:00 AM,13,Friday,53,19,1,10,low
9:15:00 AM,13,Friday,132,47,25,0,heavy
9:30:00 AM,13,Friday,131,52,15,0,heavy
9:45:00 AM,13,Friday,171,59,27,3,heavy
10:00:00 AM,13,Friday,131,43,20,3,heavy
10:15:00 AM,13,Friday,177,56,12,4,heavy
10:30:00 AM,13,Friday,160,47,30,3,heavy
10:45:00 AM,13,Friday,178,68,28,4,heavy
11:00:00 AM,13,Friday,169,70,20,3,heavy
11:15:00 AM,13,Friday,133,56,25,2,heavy
11:30:00 AM,13,Friday,151,52,13,0,heavy
11:45:00 AM,13,Friday,179,46,27,3,heavy
12:00:00 PM,13,Friday,144,68,20,0,heavy
12:15:00 PM,13,Friday,162,46,19,2,heavy
12:30:00 PM,13,Friday,159,44,23,2,heavy
12:45:00 PM,13,Friday,174,67,30,1,heavy
1:00:00 PM,13,Friday,136,57,29,4,heavy
1:15:00 PM,13,Friday,156,42,12,3,heavy
1:30:00 PM,13,Friday,175,63,19,3,heavy
1:45:00 PM,13,Friday,172,62,20,2,heavy
2:00:00 PM,13,Friday,171,49,15,0,heavy
2:15:00 PM,13,Friday,172,65,18,2,heavy
2:30:00 PM,13,Friday,176,50,13,1,heavy
2:45:00 PM,13,Friday,153,50,23,3,heavy
3:00:00 PM,13,Friday,148,64,27,0,heavy
3:15:00 PM,13,Friday,56,28,6,2,low
3:30:00 PM,13,Friday,88,26,25,0,normal
3:45:00 PM,13,Friday,82,23,14,0,normal
4:00:00 PM,13,Friday,77,20,7,0,low
4:15:00 PM,13,Friday,66,24,1,0,low
4:30:00 PM,13,Friday,72,22,8,2,low
4:45:00 PM,13,Friday,62,28,21,2,normal
5:00:00 PM,13,Friday,66,26,4,1,low
5:15:00 PM,13,Friday,85,20,4,0,low
5:30:00 PM,13,Friday,87,24,11,2,normal
5:45:00 PM,13,Friday,67,28,25,0,normal
6:00:00 PM,13,Friday,70,26,16,2,normal
6:15:00 PM,13,Friday,62,20,20,1,normal
6:30:00 PM,13,Friday,67,29,1,0,low
6:45:00 PM,13,Friday,65,25,1,1,low
7:00:00 PM,13,Friday,76,24,23,0,normal
7:15:00 PM,13,Friday,42,1,5,11,low
7:30:00 PM,13,Friday,42,10,3,1,low
7:45:00 PM,13,Friday,31,11,1,12,low
8:00:00 PM,13,Friday,47,7,3,6,low
8:15:00 PM,13,Friday,28,7,2,4,low
8:30:00 PM,13,Friday,22,3,6,1,low
8:45:00 PM,13,Friday,29,1,7,5,low
9:00:00 PM,13,Friday,43,9,1,11,low
9:15:00 PM,13,Friday,23,3,3,8,low
9:30:00 PM,13,Friday,21,2,5,15,normal
9:45:00 PM,13,Friday,31,2,1,9,low
10:00:00 PM,13,Friday,15,5,0,18,normal
10:15:00 PM,13,Friday,11,2,0,15,normal
10:30:00 PM,13,Friday,12,0,1,17,normal
10:45:00 PM,13,Friday,18,3,0,18,normal
11:00:00 PM,13,Friday,19,1,0,31,normal
11:15:00 PM,13,Friday,17,0,0,22,normal
11:30:00 PM,13,Friday,15,5,0,14,normal
11:45:00 PM,13,Friday,15,1,1,24,normal
12:00:00 AM,14,Saturday,18,4,0,33,normal
12:15:00 AM,14,Saturday,14,4,0,34,normal
12:30:00 AM,14,Saturday,14,0,1,19,normal
12:45:00 AM,14,Saturday,19,3,0,36,normal
1:00:00 AM,14,Saturday,10,4,1,21,normal
1:15:00 AM,14,Saturday,19,1,0,19,normal
1:30:00 AM,14,Saturday,18,5,0,26,normal
1:45:00 AM,14,Saturday,17,1,1,25,normal
2:00:00 AM,14,Saturday,20,2,0,12,low
2:15:00 AM,14,Saturday,15,5,0,15,normal
2:30:00 AM,14,Saturday,11,4,0,14,normal
2:45:00 AM,14,Saturday,14,3,1,18,normal
3:00:00 AM,14,Saturday,13,2,0,39,normal
3:15:00 AM,14,Saturday,17,5,0,29,normal
3:30:00 AM,14,Saturday,13,5,0,31,normal
3:45:00 AM,14,Saturday,18,5,0,35,normal
4:00:00 AM,14,Saturday,15,4,0,16,normal
4:15:00 AM,14,Saturday,55,15,5,3,low
4:30:00 AM,14,Saturday,76,10,7,9,low
4:45:00 AM,14,Saturday,98,0,9,19,normal
5:00:00 AM,14,Saturday,98,12,6,6,normal
5:15:00 AM,14,Saturday,103,2,10,20,normal
5:30:00 AM,14,Saturday,93,17,8,12,normal
5:45:00 AM,14,Saturday,115,27,9,16,normal
6:00:00 AM,14,Saturday,120,12,22,3,normal
6:15:00 AM,14,Saturday,142,18,27,0,heavy
6:30:00 AM,14,Saturday,117,29,49,2,heavy
6:45:00 AM,14,Saturday,126,36,24,0,heavy
7:00:00 AM,14,Saturday,110,39,38,5,heavy
7:15:00 AM,14,Saturday,149,20,39,5,heavy
7:30:00 AM,14,Saturday,109,29,23,5,normal
7:45:00 AM,14,Saturday,124,34,24,4,heavy
8:00:00 AM,14,Saturday,149,35,32,1,heavy
8:15:00 AM,14,Saturday,125,32,38,4,heavy
8:30:00 AM,14,Saturday,101,23,38,1,high
8:45:00 AM,14,Saturday,137,36,30,0,heavy
9:00:00 AM,14,Saturday,139,15,21,3,heavy
9:15:00 AM,14,Saturday,19,3,29,9,normal
9:30:00 AM,14,Saturday,13,11,39,7,normal
9:45:00 AM,14,Saturday,31,2,29,27,normal
10:00:00 AM,14,Saturday,18,24,21,22,normal
10:15:00 AM,14,Saturday,26,12,14,13,normal
10:30:00 AM,14,Saturday,31,15,13,28,normal
10:45:00 AM,14,Saturday,12,22,8,11,low
11:00:00 AM,14,Saturday,54,5,13,23,normal
11:15:00 AM,14,Saturday,59,7,13,21,normal
11:30:00 AM,14,Saturday,58,8,6,23,normal
11:45:00 AM,14,Saturday,53,8,9,25,normal
12:00:00 PM,14,Saturday,54,7,7,20,normal
12:15:00 PM,14,Saturday,39,10,4,29,normal
12:30:00 PM,14,Saturday,38,9,8,22,normal
12:45:00 PM,14,Saturday,36,5,10,23,normal
1:00:00 PM,14,Saturday,68,6,12,24,normal
1:15:00 PM,14,Saturday,50,18,26,14,normal
1:30:00 PM,14,Saturday,120,28,22,20,heavy
1:45:00 PM,14,Saturday,60,14,28,9,normal
2:00:00 PM,14,Saturday,105,14,8,19,normal
2:15:00 PM,14,Saturday,89,27,18,8,normal
2:30:00 PM,14,Saturday,28,17,31,10,normal
2:45:00 PM,14,Saturday,79,14,23,6,normal
3:00:00 PM,14,Saturday,15,11,30,14,normal
3:15:00 PM,14,Saturday,77,27,23,18,normal
3:30:00 PM,14,Saturday,19,14,24,6,normal
3:45:00 PM,14,Saturday,79,13,28,7,high
4:00:00 PM,14,Saturday,114,10,22,9,normal
4:15:00 PM,14,Saturday,150,30,22,5,heavy
4:30:00 PM,14,Saturday,142,23,25,7,heavy
4:45:00 PM,14,Saturday,111,36,25,6,heavy
5:00:00 PM,14,Saturday,143,37,38,8,heavy
5:15:00 PM,14,Saturday,120,37,43,10,heavy
5:30:00 PM,14,Saturday,147,20,49,7,normal
5:45:00 PM,14,Saturday,140,22,27,5,heavy
6:00:00 PM,14,Saturday,128,37,20,9,heavy
6:15:00 PM,14,Saturday,114,23,42,10,heavy
6:30:00 PM,14,Saturday,117,20,22,9,heavy
6:45:00 PM,14,Saturday,93,24,17,23,high
7:00:00 PM,14,Saturday,65,15,15,8,low
7:15:00 PM,14,Saturday,100,22,14,8,normal
7:30:00 PM,14,Saturday,85,12,11,18,normal
7:45:00 PM,14,Saturday,56,7,12,12,low
8:00:00 PM,14,Saturday,50,12,15,18,normal
8:15:00 PM,14,Saturday,74,9,11,12,low
8:30:00 PM,14,Saturday,73,15,18,7,normal
8:45:00 PM,14,Saturday,99,13,20,30,high
9:00:00 PM,14,Saturday,110,14,17,8,normal
9:15:00 PM,14,Saturday,82,5,12,34,high
9:30:00 PM,14,Saturday,58,19,12,17,normal
9:45:00 PM,14,Saturday,70,10,14,32,high
10:00:00 PM,14,Saturday,10,1,0,33,normal
10:15:00 PM,14,Saturday,14,1,1,40,normal
10:30:00 PM,14,Saturday,17,1,1,17,normal
10:45:00 PM,14,Saturday,12,4,1,22,normal
11:00:00 PM,14,Saturday,15,0,0,16,normal
11:15:00 PM,14,Saturday,13,4,0,25,normal
11:30:00 PM,14,Saturday,14,5,1,12,low
11:45:00 PM,14,Saturday,18,1,1,35,normal
12:00:00 AM,15,Sunday,18,5,1,19,normal
12:15:00 AM,15,Sunday,19,3,0,38,normal
12:30:00 AM,15,Sunday,13,0,1,12,low
12:45:00 AM,15,Sunday,20,0,1,38,normal
1:00:00 AM,15,Sunday,20,1,1,24,normal
1:15:00 AM,15,Sunday,17,3,1,17,normal
1:30:00 AM,15,Sunday,12,3,1,35,normal
1:45:00 AM,15,Sunday,19,0,1,30,normal
2:00:00 AM,15,Sunday,19,2,1,30,normal
2:15:00 AM,15,Sunday,18,1,0,16,normal
2:30:00 AM,15,Sunday,11,0,0,31,normal
2:45:00 AM,15,Sunday,10,1,1,12,low
3:00:00 AM,15,Sunday,16,1,0,24,normal
3:15:00 AM,15,Sunday,18,3,0,28,normal
3:30:00 AM,15,Sunday,20,1,1,39,normal
3:45:00 AM,15,Sunday,19,3,1,27,normal
4:00:00 AM,15,Sunday,14,1,1,34,normal
4:15:00 AM,15,Sunday,61,26,1,16,normal
4:30:00 AM,15,Sunday,72,26,6,4,low
4:45:00 AM,15,Sunday,86,24,3,18,normal
5:00:00 AM,15,Sunday,75,1,8,10,low
5:15:00 AM,15,Sunday,75,1,7,9,low
5:30:00 AM,15,Sunday,93,5,4,1,low
5:45:00 AM,15,Sunday,111,6,2,5,normal
6:00:00 AM,15,Sunday,111,18,41,2,heavy
6:15:00 AM,15,Sunday,114,27,46,0,heavy
6:30:00 AM,15,Sunday,139,19,50,2,heavy
6:45:00 AM,15,Sunday,109,14,38,1,high
7:00:00 AM,15,Sunday,105,16,22,3,normal
7:15:00 AM,15,Sunday,150,13,31,4,heavy
7:30:00 AM,15,Sunday,122,13,47,3,heavy
